class,latitude,longitude,elevation,ndvi,ndwi,slope,TWI,TPI,precip,soil,onlyDistanceWater,distToRoad
1,25.15225275,91.76573025,17,0.13876705,-0.18377884,5.4323735,8529.847015,-1.197530864,51.694046,4,52.833332,85.29789596
1,25.07960579,91.7559416,11,0.16085328,0.002092777,2.1179054,21947.36976,-0.432098765,51.48252,4,10.933333,274.8609965
1,25.04027291,91.75156883,10,0.16790046,-0.011774052,1.3811156,33675.11725,0.567901235,51.36942,7,87,1456.214933
1,25.08480275,91.73629321,10,0.45665458,-0.3064771,2.1179256,21946.26173,-0.962962963,50.14763,4,68.066666,504.3669371
1,24.9927135,91.71560976,13,0.44603783,-0.32049656,1.3808223,33695.0716,1.530864198,54.57589,4,33.666668,429.53628
1,25.04195383,91.82408359,12,0.56785524,-0.43380922,2.0465746,22719.84383,-0.345679012,51.375427,4,129.76666,154.6866379
1,25.02131169,91.73363254,15,0.41011342,-0.21989353,2.7603915,16841.57194,-0.098765432,49.474915,4,35.866665,161.4752149
1,25.05478661,91.68833656,11,0.22083333,-0.029515108,3.2051294,14496.85985,0.074074074,51.524773,4,13.5,618.4379707
1,25.0389862,91.82487847,12,0.39114887,-0.29292515,2.7606108,16837.84443,-0.259259259,51.375427,6,172.03334,363.9075124
1,25.04628977,91.78974231,12,0.55526686,-0.38562602,1.3811533,33672.60321,-2.111111111,51.36942,6,31.2,82.50375913
1,25.10042356,91.81933267,11,0.29621124,-0.05927681,2.7613733,16824.93102,-0.111111111,52.62562,4,1.2,1285.788352
1,25.01894086,91.75893567,10,-0.19512185,0.34186172,0,0,0.12345679,51.36942,7,9.233334,308.1911119
1,25.17662729,91.83682769,22,0.64648,-0.5229624,4.738515,9783.979778,3.845070423,49.728397,4,933.36664,36.08773568
1,25.14547804,91.75733383,18,-0.35386094,0.48751867,5.9091997,7837.653342,-0.148148148,51.92634,4,8.333333,270.0254946
1,25.14807138,91.76503862,16,0.4142056,-0.24236451,4.194571,11060.7509,-3.074074074,51.92634,4,52.933334,126.068046
1,25.13051816,91.777153,16,0.6082107,-0.42861876,2.118111,21936.29877,2.012345679,51.92634,4,150.83333,161.6255398
1,25.10598888,91.8007917,12,-0.14739627,0.30177084,2.761442,16823.75024,0.135802469,52.62562,4,32.333332,1339.326287
1,25.03538985,91.79636643,13,0.22035742,-0.090319924,3.0680726,15148.13175,1.62962963,51.36942,6,65.4,193.7312761
1,25.10236166,91.83893608,8,-0.24648313,0.4369179,0,0,-0.407407407,52.62562,4,3.2333333,705.09038
1,25.09593913,91.73556921,10,0.4083623,-0.23743221,0,0,-1.185185185,50.14763,4,181.63333,579.3603206
1,25.13845711,91.82717613,9,-0.41017964,0.5724362,3.4513652,13451.35837,0.209876543,52.62562,4,16.433332,420.0974875
